sec_code,company_name,as_of,source_url
4151,"KYOWA KIRIN CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4502,"TAKEDA PHARMACEUTICAL CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4503,ASTELLAS PHARMA INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4506,"SUMITOMO PHARMA CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4507,"SHIONOGI &amp; CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4519,"CHUGAI PHARMACEUTICAL CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4523,"EISAI CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4568,"DAIICHI SANKYO CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4578,"OTSUKA HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4062,"IBIDEN CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6479,MINEBEA MITSUMI INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6501,"HITACHI, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6503,MITSUBISHI ELECTRIC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6504,"FUJI ELECTRIC CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6506,YASKAWA ELECTRIC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6526,SOCIONEXT INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6645,OMRON CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6674,GS YUASA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6701,NEC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6702,FUJITSU LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6723,RENESAS ELECTRONICS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6724,SEIKO EPSON CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6752,PANASONIC HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6753,SHARP CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6758,SONY GROUP CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6762,TDK CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6770,"ALPS ALPINE CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6841,YOKOGAWA ELECTRIC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6857,ADVANTEST CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6861,KEYENCE CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6902,DENSO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6920,LASERTEC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6952,"CASIO COMPUTER CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6954,FANUC CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6963,"ROHM CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6971,KYOCERA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6976,"TAIYO YUDEN CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6981,"MURATA MANUFACTURING CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7735,"SCREEN HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7751,CANON INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7752,"RICOH CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8035,TOKYO ELECTRON LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7201,"NISSAN MOTOR CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7202,ISUZU MOTORS LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7203,TOYOTA MOTOR CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7205,"HINO MOTORS, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7211,MITSUBISHI MOTORS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7261,MAZDA MOTOR CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7267,"HONDA MOTOR CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7269,SUZUKI MOTOR CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7270,SUBARU CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7272,"YAMAHA MOTOR CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4543,TERUMO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4902,"KONICA MINOLTA, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6146,DISCO CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7731,NIKON CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7733,OLYMPUS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7741,HOYA CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9432,"NTT, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9433,KDDI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9434,SOFTBANK CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9984,SOFTBANK GROUP CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5831,"SHIZUOKA FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7186,"YOKOHAMA FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8304,"AOZORA BANK, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8308,"RESONA HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8309,"SUMITOMO MITSUI TRUST GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
